Overall_Qual,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Bsmt_Qual,BsmtFin_SF_1,Total_Bsmt_SF,Heating_QC,first_Flr_SF,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,SalePrice
6,1960,1960,112.0,TA,TA,639.0,1080.0,Fa,1656,1656,1,TA,7,2,Gd,1960.0,Fin,2,528.0,215000
5,1961,1961,0.0,TA,TA,468.0,882.0,TA,896,896,1,TA,5,0,Unknown,1961.0,Unf,1,730.0,105000
6,1958,1958,108.0,TA,TA,923.0,1329.0,TA,1329,1329,1,Gd,6,0,Unknown,1958.0,Unf,1,312.0,172000
7,1968,1968,0.0,Gd,TA,1065.0,2110.0,Ex,2110,2110,2,Ex,8,2,TA,1968.0,Fin,2,522.0,244000
5,1997,1998,0.0,TA,Gd,791.0,928.0,Gd,928,1629,2,TA,6,1,TA,1997.0,Fin,2,482.0,189900
6,1998,1998,20.0,TA,TA,602.0,926.0,Ex,926,1604,2,Gd,7,1,Gd,1998.0,Fin,2,470.0,195500
8,2001,2001,0.0,Gd,Gd,616.0,1338.0,Ex,1338,1338,2,Gd,6,0,Unknown,2001.0,Fin,2,582.0,213500
8,1992,1992,0.0,Gd,Gd,263.0,1280.0,Ex,1280,1280,2,Gd,5,0,Unknown,1992.0,RFn,2,506.0,191500
8,1995,1996,0.0,Gd,Gd,1180.0,1595.0,Ex,1616,1616,2,Gd,5,1,TA,1995.0,RFn,2,608.0,236500
7,1999,1999,0.0,TA,TA,0.0,994.0,Gd,1028,1804,2,Gd,7,1,TA,1999.0,Fin,2,442.0,189000
6,1993,1994,0.0,TA,Gd,0.0,763.0,Gd,763,1655,2,TA,7,1,TA,1993.0,Fin,2,440.0,175900
6,1992,2007,0.0,TA,Gd,935.0,1168.0,Ex,1187,1187,2,TA,6,0,Unknown,1992.0,Fin,2,420.0,185000
6,1998,1998,0.0,TA,Gd,0.0,789.0,Gd,789,1465,2,TA,7,1,Gd,1998.0,Fin,2,393.0,180400
7,1990,1990,0.0,TA,Gd,637.0,1300.0,Gd,1341,1341,1,Gd,5,1,Po,1990.0,Unf,2,506.0,171500
8,1985,1985,0.0,Gd,Gd,368.0,1488.0,TA,1502,1502,1,Gd,4,0,Unknown,1985.0,RFn,2,528.0,212000
8,2003,2003,603.0,Ex,Gd,1416.0,1650.0,Ex,1690,3279,3,Ex,12,1,Gd,2003.0,Fin,3,841.0,538000
8,1988,2005,0.0,Gd,Gd,427.0,559.0,Gd,1080,1752,2,TA,8,0,Unknown,1988.0,RFn,2,492.0,164000
9,2010,2010,350.0,Gd,Ex,1445.0,1856.0,Ex,1856,1856,1,Ex,8,1,Ex,2010.0,Fin,3,834.0,394432
4,1951,1951,0.0,TA,TA,120.0,864.0,Ex,864,864,1,TA,4,0,Unknown,1951.0,Unf,2,400.0,141000
6,1978,1988,119.0,TA,Gd,790.0,1542.0,TA,2073,2073,2,TA,7,2,TA,1978.0,Unf,2,500.0,210000
6,1977,1977,480.0,TA,Gd,705.0,1844.0,Ex,1844,1844,2,TA,7,1,TA,1977.0,RFn,2,546.0,190000
7,1974,1974,81.0,TA,Gd,885.0,1053.0,TA,1173,1173,2,Gd,6,2,TA,1974.0,RFn,2,528.0,170000
