iter	Passed	Remaining
0	15	7679
1	30	7507
2	45	7582
3	60	7500
4	74	7386
5	89	7328
6	111	7822
7	126	7796
8	141	7724
9	156	7657
10	165	7364
11	179	7297
12	193	7266
13	225	7837
14	240	7787
15	258	7815
16	274	7788
17	290	7774
18	306	7747
19	321	7725
20	333	7610
21	346	7538
22	359	7465
23	373	7406
24	387	7354
25	400	7302
26	414	7269
27	429	7243
28	445	7228
29	460	7219
30	474	7185
31	490	7172
32	505	7152
33	520	7127
34	535	7120
35	550	7093
36	564	7067
37	582	7081
38	597	7068
39	613	7050
40	627	7029
41	642	7009
42	658	6996
43	674	6989
44	689	6973
45	716	7074
46	731	7050
47	746	7025
48	761	7007
49	775	6981
50	791	6965
51	806	6950
52	822	6937
53	838	6929
54	856	6933
55	871	6911
56	886	6889
57	900	6865
58	915	6844
59	930	6824
60	945	6806
61	961	6791
62	978	6784
63	994	6776
64	1010	6762
65	1026	6750
66	1042	6736
67	1058	6726
68	1075	6716
69	1091	6705
70	1107	6689
71	1123	6677
72	1140	6673
73	1159	6675
74	1175	6663
75	1192	6650
76	1208	6638
77	1224	6623
78	1241	6614
79	1258	6604
80	1277	6606
81	1293	6595
82	1310	6585
83	1328	6580
84	1345	6570
85	1364	6569
86	1381	6559
87	1399	6550
88	1416	6541
89	1433	6530
90	1450	6517
91	1466	6505
92	1483	6492
93	1499	6476
94	1514	6458
95	1530	6441
96	1546	6427
97	1563	6412
98	1580	6402
99	1597	6388
100	1612	6369
101	1628	6352
102	1643	6335
103	1659	6317
104	1675	6303
105	1691	6285
106	1707	6271
107	1726	6267
108	1747	6267
109	1766	6261
110	1786	6259
111	1805	6255
112	1825	6253
113	1847	6256
114	1867	6252
115	1887	6246
116	1909	6249
117	1930	6248
118	1953	6253
119	1974	6254
120	1997	6255
121	2015	6245
122	2037	6244
123	2049	6213
124	2068	6204
125	2088	6197
126	2108	6191
127	2129	6188
128	2147	6176
129	2166	6167
130	2185	6156
131	2204	6145
132	2226	6143
133	2246	6134
134	2265	6124
135	2284	6113
136	2304	6106
137	2327	6105
138	2349	6101
139	2368	6090
140	2385	6074
141	2405	6063
142	2425	6054
143	2446	6048
144	2465	6036
145	2486	6028
146	2507	6021
147	2528	6014
148	2548	6002
149	2569	5995
150	2592	5992
151	2615	5989
152	2634	5975
153	2655	5965
154	2676	5956
155	2697	5947
156	2716	5935
157	2736	5923
158	2756	5911
159	2777	5902
160	2796	5888
161	2817	5878
162	2840	5872
163	2860	5860
164	2880	5848
165	2900	5836
166	2922	5827
167	2944	5818
168	2962	5802
169	2981	5788
170	3000	5772
171	3017	5754
172	3035	5737
173	3054	5723
174	3072	5705
175	3088	5685
176	3110	5677
177	3130	5663
178	3150	5650
179	3171	5638
180	3190	5623
181	3211	5610
182	3232	5599
183	3253	5587
184	3271	5571
185	3293	5560
186	3312	5543
187	3331	5529
188	3350	5512
189	3368	5495
190	3387	5479
191	3405	5463
192	3424	5446
193	3445	5434
194	3464	5418
195	3483	5402
196	3503	5388
197	3522	5372
198	3543	5359
199	3563	5345
200	3582	5328
201	3601	5313
202	3621	5297
203	3641	5283
204	3659	5266
205	3679	5250
206	3699	5236
207	3720	5222
208	3740	5207
209	3760	5192
210	3781	5179
211	3802	5165
212	3823	5151
213	3842	5135
214	3862	5120
215	3884	5107
216	3904	5092
217	3927	5080
218	3953	5072
219	3982	5068
220	4015	5068
221	4037	5056
222	4059	5042
223	4079	5025
224	4101	5012
225	4127	5003
226	4146	4986
227	4165	4969
228	4184	4951
229	4203	4934
230	4223	4917
231	4241	4899
232	4261	4883
233	4279	4864
234	4301	4850
235	4318	4831
236	4337	4813
237	4356	4796
238	4375	4778
239	4392	4758
240	4412	4741
241	4430	4723
242	4448	4704
243	4467	4687
244	4485	4668
245	4507	4653
246	4526	4636
247	4545	4618
248	4562	4598
249	4578	4578
250	4594	4557
251	4609	4535
252	4624	4515
253	4639	4493
254	4655	4472
255	4670	4451
256	4688	4433
257	4705	4414
258	4725	4397
259	4744	4379
260	4764	4362
261	4782	4344
262	4801	4326
263	4820	4309
264	4839	4291
265	4860	4275
266	4878	4257
267	4898	4240
268	4916	4222
269	4935	4204
270	4957	4189
271	4976	4171
272	4997	4155
273	5016	4137
274	5037	4121
275	5056	4104
276	5078	4088
277	5100	4072
278	5121	4056
279	5139	4038
280	5158	4020
281	5177	4002
282	5196	3984
283	5217	3968
284	5237	3951
285	5256	3933
286	5276	3915
287	5295	3897
288	5314	3880
289	5334	3862
290	5355	3846
291	5375	3829
292	5397	3813
293	5417	3796
294	5438	3778
295	5458	3762
296	5477	3743
297	5501	3728
298	5521	3711
299	5540	3693
300	5558	3675
301	5576	3656
302	5595	3637
303	5612	3618
304	5630	3599
305	5647	3580
306	5665	3561
307	5681	3541
308	5699	3523
309	5716	3503
310	5733	3484
311	5749	3464
312	5765	3444
313	5782	3425
314	5798	3405
315	5814	3385
316	5830	3365
317	5846	3345
318	5860	3325
319	5876	3305
320	5891	3285
321	5906	3265
322	5921	3245
323	5936	3224
324	5951	3204
325	5967	3185
326	5987	3167
327	6007	3150
328	6030	3134
329	6049	3116
330	6069	3099
331	6090	3082
332	6113	3065
333	6134	3048
334	6155	3031
335	6176	3014
336	6197	2997
337	6220	2981
338	6241	2964
339	6262	2946
340	6280	2928
341	6299	2910
342	6322	2893
343	6343	2876
344	6362	2858
345	6381	2840
346	6399	2821
347	6417	2803
348	6435	2784
349	6451	2764
350	6468	2746
351	6484	2726
352	6499	2706
353	6515	2687
354	6530	2667
355	6546	2647
356	6561	2628
357	6577	2608
358	6591	2588
359	6607	2569
360	6622	2550
361	6638	2530
362	6655	2511
363	6671	2492
364	6687	2473
365	6702	2453
366	6719	2434
367	6736	2416
368	6753	2397
369	6771	2379
370	6790	2361
371	6811	2343
372	6829	2325
373	6845	2306
374	6861	2287
375	6877	2268
376	6892	2248
377	6908	2229
378	6924	2210
379	6940	2191
380	6957	2172
381	6973	2153
382	6989	2135
383	7005	2116
384	7023	2097
385	7040	2079
386	7061	2061
387	7080	2043
388	7097	2025
389	7114	2006
390	7131	1988
391	7148	1969
392	7165	1950
393	7182	1932
394	7200	1914
395	7216	1895
396	7231	1876
397	7248	1857
398	7266	1839
399	7284	1821
400	7300	1802
401	7316	1783
402	7331	1764
403	7348	1746
404	7363	1727
405	7378	1708
406	7394	1689
407	7410	1670
408	7425	1652
409	7440	1633
410	7456	1614
411	7471	1595
412	7488	1577
413	7503	1558
414	7519	1540
415	7536	1521
416	7553	1503
417	7569	1484
418	7585	1466
419	7603	1448
420	7619	1429
421	7634	1411
422	7650	1392
423	7665	1373
424	7680	1355
425	7695	1336
426	7711	1318
427	7727	1299
428	7743	1281
429	7758	1263
430	7775	1244
431	7791	1226
432	7807	1208
433	7823	1189
434	7839	1171
435	7855	1153
436	7871	1134
437	7886	1116
438	7902	1098
439	7917	1079
440	7934	1061
441	7950	1043
442	7965	1024
443	7980	1006
444	7997	988
445	8011	970
446	8028	951
447	8044	933
448	8068	916
449	8087	898
450	8103	880
451	8119	862
452	8136	844
453	8151	825
454	8166	807
455	8183	789
456	8200	771
457	8217	753
458	8243	736
459	8260	718
460	8277	700
461	8293	682
462	8311	664
463	8327	646
464	8343	628
465	8360	609
466	8376	591
467	8392	573
468	8408	555
469	8424	537
470	8440	519
471	8461	501
472	8480	484
473	8496	466
474	8512	448
475	8526	429
476	8543	411
477	8558	393
478	8574	375
479	8590	357
480	8608	340
481	8625	322
482	8641	304
483	8658	286
484	8675	268
485	8692	250
486	8710	232
487	8739	214
488	8761	197
489	8779	179
490	8796	161
491	8813	143
492	8831	125
493	8847	107
494	8864	89
495	8880	71
496	8898	53
497	8915	35
498	8932	17
499	8954	0
